CODPROD_PA;DESCRICAO_PA;MIN;MAX;MEDIA;DENSIDADE_FORMULA;QUANTIDADE;PADRAO_LAUDO;CODPROD_SA;DESCRICAO_SA;PESO_FORMULA;LITRAGEM
2835;"STANDARD FS 18L JENIPAPO";1,309;1,309;1,309;1,300;1;"1,32-1,37 G/CM3";23,400;18,0;2805;"STANDARD FS JENIPAPO - SA"
10;"FUNDO PREPARADOR DE PAREDES KOKAR 3,6L";0,990;1,000;0,995;1,005;2;"1,00 -1,03 (G/CM³)";3,618;3,6;483;"FUNDO PREPARADOR DE PAREDES KOKAR - SA"
1588;"ESMALTE SINT BRILHANTE 3,6L VERDE COLONI";0,946;0,946;0,946;0,980;1;"0,95-0,98 (G/CM³)";3,528;3,6;1539;"ESMALTE SINT BRILHANTE VERDE COLONIAL-SA"
31;"ECONOMICO FOSCO 18L PALHA";1,280;1,341;1,325;1,350;6;"1,32-1,37 (G/CM³)";24,300;18,0;641;"ECONOMICO FOSCO  PALHA - SA"
2847;"STANDARD FS 18L COPAIBA";1,261;1,262;1,262;1,310;2;"1,25 - 1,28";23,580;18,0;2817;"STANDARD FS COPAIBA - SA"
997;"FIT ACR FS ECONOMICO 16L AMARELO CANARIO";1,327;1,342;1,338;1,345;6;"1,32-1,37 (G/CM³)";21,525;16,0;989;"FIT ACR  ECONOMICO AMARELO CANARIO- SA"
17;"ECONOMICO FOSCO 18L AREIA";1,270;1,338;1,314;1,340;3;"1,32 - 1,37 (G/CM³)";24,120;18,0;627;"ECONOMICO FOSCO AREIA - SA"
1580;"ESMALTE SINT BRILHANTE 3,6L MARFIM";0,956;0,970;0,963;1,030;2;"0,95 - 1,00 (G/CM³)";3,708;3,6;1531;"ESMALTE SINT BRILHANTE MARFIM - SA"
2849;"STANDARD FS 3,6L SEIXO BRANCO";1,298;1,298;1,298;1,350;1;"1,28-1,35 G/CM3";4,860;3,6;2791;"STANDARD FS SEIXO BRANCO - SA"
2819;"STANDARD FS 18L SEIXO BRANCO";1,298;1,330;1,314;1,350;2;"1,28-1,35 G/CM3";24,300;18,0;2791;"STANDARD FS SEIXO BRANCO - SA"
269;"RESINA ACR BA KOKAR 18L CERAMICA ONIX";1,000;1,020;1,009;1,020;5;"1,01 - 1,05 (G/CM³)";18,360;18,0;646;"RESINA ACR BA KOKAR CERAMICA ONIX - SA"
2844;"STANDARD FS 18L TURMALINA AZUL";1,290;1,295;1,293;1,310;2;"1,32-1,37 G/CM3";23,580;18,0;2814;"STANDARD FS TURMALINA  - SA"
